A0A024RBG1,NUD4B_HUMAN
P46937,YAP1_HUMAN
P46939,UTRO_HUMAN
P46977,STT3A_HUMAN
P47710,CASA1_HUMAN
P47712,PA24A_HUMAN
P47736,RPGP1_HUMAN
P47775,GPR12_HUMAN
P47813,IF1AX_HUMAN
P47869,GBRA2_HUMAN
P47870,GBRB2_HUMAN
P47871,GLR_HUMAN
P47872,SCTR_HUMAN
P47897,SYQ_HUMAN
P47898,5HT5A_HUMAN
P47900,P2RY1_HUMAN
P47901,V1BR_HUMAN
P47902,CDX1_HUMAN
P47914,RL29_HUMAN
P47928,ID4_HUMAN
P47972,NPTX2_HUMAN
P47974,TISD_HUMAN
P47985,UCRI_HUMAN
P48023,TNFL6_HUMAN
P48029,SC6A8_HUMAN
P48050,KCNJ4_HUMAN
P48051,KCNJ6_HUMAN
P48058,GRIA4_HUMAN
P48065,S6A12_HUMAN
P48066,S6A11_HUMAN
P48067,SC6A9_HUMAN
P48146,NPBW2_HUMAN
P48165,CXA8_HUMAN
P48167,GLRB_HUMAN
P48169,GBRA4_HUMAN
P48201,AT5G3_HUMAN
P48304,REG1B_HUMAN
P48378,RFX2_HUMAN
P48380,RFX3_HUMAN
P48382,RFX5_HUMAN
P48426,PI42A_HUMAN
P48431,SOX2_HUMAN
P48436,SOX9_HUMAN
P48443,RXRG_HUMAN
P48444,COPD_HUMAN
P48454,PP2BC_HUMAN
P48544,KCNJ5_HUMAN
P48546,GIPR_HUMAN
P48547,KCNC1_HUMAN
P48549,KCNJ3_HUMAN
P48551,INAR2_HUMAN
P48552,NRIP1_HUMAN
P48553,TPC10_HUMAN
P48556,PSMD8_HUMAN
P48634,PRC2A_HUMAN
P48645,NMU_HUMAN
P48651,PTSS1_HUMAN
P48664,EAA4_HUMAN
P48668,K2C6C_HUMAN
P48681,NEST_HUMAN
P48723,HSP13_HUMAN
P48729,KC1A_HUMAN
P48730,KC1D_HUMAN
P48735,IDHP_HUMAN
P48736,PK3CG_HUMAN
P48742,LHX1_HUMAN
P48751,B3A3_HUMAN
P48764,SL9A3_HUMAN
P48775,T23O_HUMAN
P48788,TNNI2_HUMAN
P48995,TRPC1_HUMAN
P49006,MRP_HUMAN
P49019,HCAR3_HUMAN
P49023,PAXI_HUMAN
P49069,CAMLG_HUMAN
P49116,NR2C2_HUMAN
P49137,MAPK2_HUMAN
P49146,NPY2R_HUMAN
P49190,PTH2R_HUMAN
P49238,CX3C1_HUMAN
P49247,RPIA_HUMAN
P49257,LMAN1_HUMAN
P49279,NRAM1_HUMAN
P49281,NRAM2_HUMAN
P49321,NASP_HUMAN
P49336,CDK8_HUMAN
P49354,FNTA_HUMAN
P49356,FNTB_HUMAN
P49406,RM19_HUMAN
P49407,ARRB1_HUMAN
P49418,AMPH_HUMAN
P49427,UB2R1_HUMAN
P49441,INPP_HUMAN
P49448,DHE4_HUMAN
P49450,CENPA_HUMAN
P49454,CENPF_HUMAN
P49585,PCY1A_HUMAN
P49591,SYSC_HUMAN
P49593,PPM1F_HUMAN
P49619,DGKG_HUMAN
P49640,EVX1_HUMAN
P49641,MA2A2_HUMAN
P49643,PRI2_HUMAN
P49674,KC1E_HUMAN
P49683,PRLHR_HUMAN
P49685,GPR15_HUMAN
P49711,CTCF_HUMAN
P49715,CEBPA_HUMAN
P49716,CEBPD_HUMAN
P49736,MCM2_HUMAN
P49748,ACADV_HUMAN
P49750,YLPM1_HUMAN
P49756,RBM25_HUMAN
P49757,NUMB_HUMAN
P49758,RGS6_HUMAN
P49759,CLK1_HUMAN
P49760,CLK2_HUMAN
P49763,PLGF_HUMAN
P49765,VEGFB_HUMAN
P49767,VEGFC_HUMAN
P49768,PSN1_HUMAN
P49771,FLT3L_HUMAN
P49788,TIG1_HUMAN
P49790,NU153_HUMAN
P49792,RBP2_HUMAN
P49795,RGS19_HUMAN
P49796,RGS3_HUMAN
P49802,RGS7_HUMAN
P49810,PSN2_HUMAN
P49815,TSC2_HUMAN
P49821,NDUV1_HUMAN
P49840,GSK3A_HUMAN
P49841,GSK3B_HUMAN
P49848,TAF6_HUMAN
P49901,MCSP_HUMAN
P49902,5NTC_HUMAN
P49910,ZN165_HUMAN
P49916,DNLI3_HUMAN
P49959,MRE11_HUMAN
P49961,ENTP1_HUMAN
P50052,AGTR2_HUMAN
P50219,MNX1_HUMAN
P50221,MEOX1_HUMAN
P50222,MEOX2_HUMAN
P50402,EMD_HUMAN
P50406,5HT6R_HUMAN
P50443,S26A2_HUMAN
P50454,SERPH_HUMAN
P50458,LHX2_HUMAN
P50479,PDLI4_HUMAN
P50502,F10A1_HUMAN
P50539,MXI1_HUMAN
P50542,PEX5_HUMAN
P50548,ERF_HUMAN
P50549,ETV1_HUMAN
P50552,VASP_HUMAN
P50553,ASCL1_HUMAN
P50570,DYN2_HUMAN
P50579,MAP2_HUMAN
P50591,TNF10_HUMAN
P50607,TUB_HUMAN
P50613,CDK7_HUMAN
P50616,TOB1_HUMAN
P50747,BPL1_HUMAN
P50749,RASF2_HUMAN
P50750,CDK9_HUMAN
P50851,LRBA_HUMAN
P50914,RL14_HUMAN
P50993,AT1A2_HUMAN
P50995,ANX11_HUMAN
P51003,PAPOA_HUMAN
P51114,FXR1_HUMAN
P51116,FXR2_HUMAN
P51148,RAB5C_HUMAN
P51157,RAB28_HUMAN
P51160,PDE6C_HUMAN
P51168,SCNNB_HUMAN
P51170,SCNNG_HUMAN
P51172,SCNND_HUMAN
P51178,PLCD1_HUMAN
P51397,DAP1_HUMAN
P51398,RT29_HUMAN
P51449,RORG_HUMAN
P51451,BLK_HUMAN
P51460,INSL3_HUMAN
P51504,ZNF80_HUMAN
P51508,ZNF81_HUMAN
P51511,MMP15_HUMAN
P51512,MMP16_HUMAN
P51513,NOVA1_HUMAN
P51522,ZNF83_HUMAN
P51523,ZNF84_HUMAN
P51531,SMCA2_HUMAN
P51532,SMCA4_HUMAN
P51553,IDH3G_HUMAN
P51582,P2RY4_HUMAN
P51608,MECP2_HUMAN
P51610,HCFC1_HUMAN
P51617,IRAK1_HUMAN
P51636,CAV2_HUMAN
P51649,SSDH_HUMAN
P51654,GPC3_HUMAN
P51665,PSMD7_HUMAN
P51684,CCR6_HUMAN
P51689,ARSD_HUMAN
P51690,ARSE_HUMAN
P51692,STA5B_HUMAN
P51693,APLP1_HUMAN
P51784,UBP11_HUMAN
P51786,ZN157_HUMAN
P51787,KCNQ1_HUMAN
P51788,CLCN2_HUMAN
P51790,CLCN3_HUMAN
P51797,CLCN6_HUMAN
P51798,CLCN7_HUMAN
P51810,GP143_HUMAN
P51811,XK_HUMAN
P51812,KS6A3_HUMAN
P51813,BMX_HUMAN
P51815,ZN75D_HUMAN
P51816,AFF2_HUMAN
P51817,PRKX_HUMAN
P51825,AFF1_HUMAN
P51826,AFF3_HUMAN
P51828,ADCY7_HUMAN
P51841,GUC2F_HUMAN
P51858,HDGF_HUMAN
P51861,CDR1_HUMAN
P51888,PRELP_HUMAN
P51946,CCNH_HUMAN
P51948,MAT1_HUMAN
P51955,NEK2_HUMAN
P51956,NEK3_HUMAN
P51957,NEK4_HUMAN
P51965,UB2E1_HUMAN
P51970,NDUA8_HUMAN
P51991,ROA3_HUMAN
P51993,FUT6_HUMAN
P52179,MYOM1_HUMAN
P52198,RND2_HUMAN
P52272,HNRPM_HUMAN
P52292,IMA1_HUMAN
P52294,IMA5_HUMAN
P52298,NCBP2_HUMAN
P52429,DGKE_HUMAN
P52564,MP2K6_HUMAN
P52569,CTR2_HUMAN
P52594,AGFG1_HUMAN
P52597,HNRPF_HUMAN
P52630,STAT2_HUMAN
P52655,TF2AA_HUMAN
P52701,MSH6_HUMAN
P52732,KIF11_HUMAN
P52736,ZN133_HUMAN
P52737,ZN136_HUMAN
P52738,ZN140_HUMAN
P52739,ZN131_HUMAN
P52740,ZN132_HUMAN
P52741,ZN134_HUMAN
P52742,ZN135_HUMAN
P52746,ZN142_HUMAN
P52747,ZN143_HUMAN
P52756,RBM5_HUMAN
P52757,CHIO_HUMAN
P52797,EFNA3_HUMAN
P52798,EFNA4_HUMAN
P52799,EFNB2_HUMAN
P52803,EFNA5_HUMAN
P52815,RM12_HUMAN
P52823,STC1_HUMAN
P52824,DGKQ_HUMAN
P52848,NDST1_HUMAN
P52849,NDST2_HUMAN
P52926,HMGA2_HUMAN
P52943,CRIP2_HUMAN
P52945,PDX1_HUMAN
P52948,NUP98_HUMAN
P52951,GBX2_HUMAN
P52952,NKX25_HUMAN
P52954,LBX1_HUMAN
P53350,PLK1_HUMAN
P53355,DAPK1_HUMAN
P53365,ARFP2_HUMAN
P53367,ARFP1_HUMAN
P53396,ACLY_HUMAN
P53420,CO4A4_HUMAN
P53539,FOSB_HUMAN
P53597,SUCA_HUMAN
P53621,COPA_HUMAN
P53667,LIMK1_HUMAN
P53671,LIMK2_HUMAN
P53674,CRBB1_HUMAN
P53701,CCHL_HUMAN
P53779,MK10_HUMAN
P53801,PTTG_HUMAN
P53804,TTC3_HUMAN
P53805,RCAN1_HUMAN
P53814,SMTN_HUMAN
P53985,MOT1_HUMAN
P53992,SC24C_HUMAN
P53999,TCP4_HUMAN
P54098,DPOG1_HUMAN
P54105,ICLN_HUMAN
P54132,BLM_HUMAN
P54198,HIRA_HUMAN
P54219,VMAT1_HUMAN
P54252,ATX3_HUMAN
P54253,ATX1_HUMAN
P54257,HAP1_HUMAN
P54259,ATN1_HUMAN
P54274,TERF1_HUMAN
P54277,PMS1_HUMAN
P54278,PMS2_HUMAN
P54284,CACB3_HUMAN
P54368,OAZ1_HUMAN
P54646,AAPK2_HUMAN
P54707,AT12A_HUMAN
P54725,RD23A_HUMAN
P54727,RD23B_HUMAN
P54750,PDE1A_HUMAN
P54756,EPHA5_HUMAN
P54821,PRRX1_HUMAN
P54826,GAS1_HUMAN
P54829,PTN5_HUMAN
P54840,GYS2_HUMAN
P54845,NRL_HUMAN
P54868,HMCS2_HUMAN
P55001,MFAP2_HUMAN
P55010,IF5_HUMAN
P55011,S12A2_HUMAN
P55017,S12A3_HUMAN
P55036,PSMD4_HUMAN
P55040,GEM_HUMAN
P55042,RAD_HUMAN
P55055,NR1H2_HUMAN
P55056,APOC4_HUMAN
P55072,TERA_HUMAN
P55075,FGF8_HUMAN
P55081,MFAP1_HUMAN
P55082,MFAP3_HUMAN
P55083,MFAP4_HUMAN
P55084,ECHB_HUMAN
P55089,UCN1_HUMAN
P55107,GDF10_HUMAN
P55160,NCKPL_HUMAN
P55196,AFAD_HUMAN
P55197,AF10_HUMAN
P55198,AF17_HUMAN
P55201,BRPF1_HUMAN
P55209,NP1L1_HUMAN
P55210,CASP7_HUMAN
P55211,CASP9_HUMAN
P55212,CASP6_HUMAN
P55265,DSRAD_HUMAN
P55285,CADH6_HUMAN
P55286,CADH8_HUMAN
P55287,CAD11_HUMAN
P55289,CAD12_HUMAN
P55316,FOXG1_HUMAN
P55317,FOXA1_HUMAN
P55318,FOXA3_HUMAN
P55327,TPD52_HUMAN
P55347,PKNX1_HUMAN
P55771,PAX9_HUMAN
P55786,PSA_HUMAN
P55789,ALR_HUMAN
P55808,XG_HUMAN
P55884,EIF3B_HUMAN
P55899,FCGRN_HUMAN
P56159,GFRA1_HUMAN
P56177,DLX1_HUMAN
P56178,DLX5_HUMAN
P56180,TPTE_HUMAN
P56181,NDUV3_HUMAN
P56182,RRP1_HUMAN
P56211,ARP19_HUMAN
P56270,MAZ_HUMAN
P56373,P2RX3_HUMAN
P56524,HDAC4_HUMAN
P56545,CTBP2_HUMAN
P56645,PER3_HUMAN
P56693,SOX10_HUMAN
P56696,KCNQ4_HUMAN
P56715,RP1_HUMAN
P56746,CLD15_HUMAN
P56747,CLD6_HUMAN
P56748,CLD8_HUMAN
P56749,CLD12_HUMAN
P56750,CLD17_HUMAN
P56856,CLD18_HUMAN
P56880,CLD20_HUMAN
P56915,GSC_HUMAN
P56945,BCAR1_HUMAN
P56962,STX17_HUMAN
P56975,NRG3_HUMAN
P57052,RBM11_HUMAN
P57053,H2BFS_HUMAN
P57054,PIGP_HUMAN
P57055,DSCR6_HUMAN
P57057,G6PT2_HUMAN
P57058,HUNK_HUMAN
P57059,SIK1_HUMAN
P57073,SOX8_HUMAN
P57077,M3KCL_HUMAN
P57078,RIPK4_HUMAN
P57081,WDR4_HUMAN
P57082,TBX4_HUMAN
P57086,SCND1_HUMAN
P57087,JAM2_HUMAN
P57103,NAC3_HUMAN
P57105,SYJ2B_HUMAN
P57679,EVC_HUMAN
P57682,KLF3_HUMAN
P57723,PCBP4_HUMAN
P57727,TMPS3_HUMAN
P57735,RAB25_HUMAN
P57737,CORO7_HUMAN
P57739,CLD2_HUMAN
P57740,NU107_HUMAN
P57768,SNX16_HUMAN
P57771,RGS8_HUMAN
P57773,CXA9_HUMAN
P57789,KCNKA_HUMAN
P57796,CABP4_HUMAN
P58004,SESN2_HUMAN
P58005,SESN3_HUMAN
P58012,FOXL2_HUMAN
P58107,EPIPL_HUMAN
P58304,VSX2_HUMAN
P58317,ZN121_HUMAN
P58340,MLF1_HUMAN
P58397,ATS12_HUMAN
P58417,NXPH1_HUMAN
P58499,FAM3B_HUMAN
P58505,CU058_HUMAN
P58658,EVA1C_HUMAN
P58743,S26A5_HUMAN
P58753,TIRAP_HUMAN
P58872,RHBL3_HUMAN
P58876,H2B1D_HUMAN
P59025,RTP1_HUMAN
P59046,NAL12_HUMAN
P59047,NALP5_HUMAN
P59190,RAB15_HUMAN
P59773,MNARL_HUMAN
P59780,AP3S2_HUMAN
P59923,ZN445_HUMAN
P59942,MCCD1_HUMAN
P59990,KR121_HUMAN
P59991,KR122_HUMAN
P60006,APC15_HUMAN
P60014,KR10A_HUMAN
P60153,RNAS9_HUMAN
P60321,NANO2_HUMAN
P60323,NANO3_HUMAN
P60331,KR101_HUMAN
P60368,KR102_HUMAN
P60369,KR103_HUMAN
P60409,KR107_HUMAN
P60410,KR108_HUMAN
P60411,KR109_HUMAN
P60412,KR10B_HUMAN
P60413,KR10C_HUMAN
P60468,SC61B_HUMAN
P60484,PTEN_HUMAN
P60606,CTXN1_HUMAN
P60827,C1QT8_HUMAN
P60852,ZP1_HUMAN
P60880,SNP25_HUMAN
P61006,RAB8A_HUMAN
P61011,SRP54_HUMAN
P61018,RAB4B_HUMAN
P61020,RAB5B_HUMAN
P61106,RAB14_HUMAN
P61129,ZC3H6_HUMAN
P61218,RPAB2_HUMAN
P61244,MAX_HUMAN
P61247,RS3A_HUMAN
P61278,SMS_HUMAN
P61296,HAND2_HUMAN
P61313,RL15_HUMAN
P61328,FGF12_HUMAN
P61366,OSTN_HUMAN
P61371,ISL1_HUMAN
P61587,RND3_HUMAN
P61647,SIA8F_HUMAN
P61812,TGFB2_HUMAN
P61925,IPKA_HUMAN
P61927,RL37_HUMAN
P61978,HNRPK_HUMAN
P62191,PRS4_HUMAN
P62241,RS8_HUMAN
P62256,UBE2H_HUMAN
P62266,RS23_HUMAN
P62269,RS18_HUMAN
P62314,SMD1_HUMAN
P62318,SMD3_HUMAN
P62324,BTG1_HUMAN
P62424,RL7A_HUMAN
P62491,RB11A_HUMAN
P62508,ERR3_HUMAN
P62633,CNBP_HUMAN
P62750,RL23A_HUMAN
P62753,RS6_HUMAN
P62807,H2B1C_HUMAN
P62847,RS24_HUMAN
P62851,RS25_HUMAN
P62910,RL32_HUMAN
P62955,CCG7_HUMAN
P62995,TRA2B_HUMAN
P63010,AP2B1_HUMAN
P63027,VAMP2_HUMAN
P63162,RSMN_HUMAN
P63252,KCNJ2_HUMAN
P67809,YBOX1_HUMAN
P68400,CSK21_HUMAN
P68543,UBX2A_HUMAN
P78310,CXAR_HUMAN
P78312,F193A_HUMAN
P78314,3BP2_HUMAN
P78316,NOP14_HUMAN
P78317,RNF4_HUMAN
P78318,IGBP1_HUMAN
P78324,SHPS1_HUMAN
P78325,ADAM8_HUMAN
P78332,RBM6_HUMAN
P78333,GPC5_HUMAN
P78334,GBRE_HUMAN
P78337,PITX1_HUMAN
P78344,IF4G2_HUMAN
P78345,RPP38_HUMAN
P78347,GTF2I_HUMAN
P78348,ASIC1_HUMAN
P78352,DLG4_HUMAN
P78356,PI42B_HUMAN
P78357,CNTP1_HUMAN
P78358,CTG1B_HUMAN
P78362,SRPK2_HUMAN
P78363,ABCA4_HUMAN
P78364,PHC1_HUMAN
P78367,NKX32_HUMAN
P78368,KC1G2_HUMAN
P78369,CLD10_HUMAN
P78380,OLR1_HUMAN
P78381,S35A2_HUMAN
P78396,CCNA1_HUMAN
P78411,IRX5_HUMAN
P78412,IRX6_HUMAN
P78413,IRX4_HUMAN
P78414,IRX1_HUMAN
P78415,IRX3_HUMAN
P78423,X3CL1_HUMAN
P78424,PO6F2_HUMAN
P78426,NKX61_HUMAN
P78504,JAG1_HUMAN
P78508,KCJ10_HUMAN
P78524,ST5_HUMAN
P78527,PRKDC_HUMAN
P78536,ADA17_HUMAN
P78537,BL1S1_HUMAN
P78545,ELF3_HUMAN
P78549,NTH_HUMAN
P78552,I13R1_HUMAN
P78559,MAP1A_HUMAN
P78562,PHEX_HUMAN
P78563,RED1_HUMAN
P79522,PRR3_HUMAN
P80162,CXCL6_HUMAN
P80192,M3K9_HUMAN
P80297,MT1X_HUMAN
P80303,NUCB2_HUMAN
P80404,GABT_HUMAN
P80723,BASP1_HUMAN
P81133,SIM1_HUMAN
P81172,HEPC_HUMAN
P81274,GPSM2_HUMAN
P81277,PRRP_HUMAN
P81408,F189B_HUMAN
P81877,SSBP2_HUMAN
P82094,TMF1_HUMAN
P82673,RT35_HUMAN
P82675,RT05_HUMAN
P82909,RT36_HUMAN
P82912,RT11_HUMAN
P82970,HMGN5_HUMAN
P82979,SARNP_HUMAN
P82987,ATL3_HUMAN
P83105,HTRA4_HUMAN
P83111,LACTB_HUMAN
P83369,LSM11_HUMAN
P83731,RL24_HUMAN
P83859,OX26_HUMAN
P83916,CBX1_HUMAN
P84098,RL19_HUMAN
P84101,SERF2_HUMAN
P84103,SRSF3_HUMAN
P84157,MXRA7_HUMAN
P84243,H33_HUMAN
P84550,SKOR1_HUMAN
P85037,FOXK1_HUMAN
P85298,RHG08_HUMAN
P85299,PRR5_HUMAN
P86452,ZBED6_HUMAN
P86478,PR20E_HUMAN
P86479,PR20C_HUMAN
P86480,PR20D_HUMAN
P86481,PR20B_HUMAN
P86496,PR20A_HUMAN
P98073,ENTK_HUMAN
P98082,DAB2_HUMAN
P98088,MUC5A_HUMAN
P98095,FBLN2_HUMAN
P98153,IDD_HUMAN
P98160,PGBM_HUMAN
P98161,PKD1_HUMAN
P98164,LRP2_HUMAN
P98168,ZXDA_HUMAN
P98169,ZXDB_HUMAN
P98171,RHG04_HUMAN
P98172,EFNB1_HUMAN
P98173,FAM3A_HUMAN
P98174,FGD1_HUMAN
P98175,RBM10_HUMAN
P98177,FOXO4_HUMAN
P98179,RBM3_HUMAN
P98182,ZN200_HUMAN
Q00013,EM55_HUMAN
Q00056,HXA4_HUMAN
Q00325,MPCP_HUMAN
Q00444,HXC5_HUMAN
Q00536,CDK16_HUMAN
Q00537,CDK17_HUMAN
Q00577,PURA_HUMAN
Q00587,BORG5_HUMAN
Q00613,HSF1_HUMAN
Q00653,NFKB2_HUMAN
Q00688,FKBP3_HUMAN
Q00722,PLCB2_HUMAN
Q00839,HNRPU_HUMAN
Q00872,MYPC1_HUMAN
Q008S8,ECT2L_HUMAN
Q00973,B4GN1_HUMAN
Q00975,CAC1B_HUMAN
Q00978,IRF9_HUMAN
Q00987,MDM2_HUMAN
Q00994,BEX3_HUMAN
Q00G26,PLIN5_HUMAN
Q00LT1,PRCD_HUMAN
Q01064,PDE1B_HUMAN
Q01081,U2AF1_HUMAN
Q01082,SPTB2_HUMAN
Q01094,E2F1_HUMAN
Q01101,INSM1_HUMAN
Q01105,SET_HUMAN
Q01113,IL9R_HUMAN
Q01118,SCN7A_HUMAN
Q01130,SRSF2_HUMAN
Q01167,FOXK2_HUMAN
Q01196,RUNX1_HUMAN
Q01201,RELB_HUMAN
Q01432,AMPD3_HUMAN
Q01484,ANK2_HUMAN
Q01518,CAP1_HUMAN
Q01534,TSPY1_HUMAN
Q01538,MYT1_HUMAN
Q01543,FLI1_HUMAN
Q01546,K22O_HUMAN
Q01628,IFM3_HUMAN
Q01629,IFM2_HUMAN
Q01650,LAT1_HUMAN
Q01664,TFAP4_HUMAN
Q01668,CAC1D_HUMAN
Q01726,MSHR_HUMAN
Q01780,EXOSX_HUMAN
Q01804,OTUD4_HUMAN
Q01814,AT2B2_HUMAN
Q01826,SATB1_HUMAN
Q01831,XPC_HUMAN
Q01844,EWS_HUMAN
Q01850,CDR2_HUMAN
Q01851,PO4F1_HUMAN
Q01860,PO5F1_HUMAN
Q01892,SPIB_HUMAN
Q01954,BNC1_HUMAN
Q01955,CO4A3_HUMAN
Q01959,SC6A3_HUMAN
Q01968,OCRL_HUMAN
Q01970,PLCB3_HUMAN
Q01973,ROR1_HUMAN
Q01974,ROR2_HUMAN
Q02040,AK17A_HUMAN
Q02078,MEF2A_HUMAN
Q02080,MEF2B_HUMAN
Q02086,SP2_HUMAN
Q02108,GCYA1_HUMAN
Q02156,KPCE_HUMAN
Q02218,ODO1_HUMAN
Q02223,TNR17_HUMAN
Q02224,CENPE_HUMAN
Q02241,KIF23_HUMAN
Q02252,MMSA_HUMAN
Q02297,NRG1_HUMAN
Q02318,CP27A_HUMAN
Q02363,ID2_HUMAN
Q02383,SEMG2_HUMAN
Q02386,ZNF45_HUMAN
Q02388,CO7A1_HUMAN
Q02410,APBA1_HUMAN
Q02413,DSG1_HUMAN
Q02446,SP4_HUMAN
Q02447,SP3_HUMAN
Q02509,OC90_HUMAN
Q02535,ID3_HUMAN
Q02539,H11_HUMAN
Q02548,PAX5_HUMAN
Q02556,IRF8_HUMAN
Q02575,HEN1_HUMAN
Q02577,HEN2_HUMAN
Q02641,CACB1_HUMAN
Q02742,GCNT1_HUMAN
Q02750,MP2K1_HUMAN
Q02763,TIE2_HUMAN
Q02779,M3K10_HUMAN
Q02790,FKBP4_HUMAN
Q02818,NUCB1_HUMAN
Q02833,RASF7_HUMAN
Q02878,RL6_HUMAN
Q02880,TOP2B_HUMAN
Q02930,CREB5_HUMAN
Q02952,AKA12_HUMAN
Q02962,PAX2_HUMAN
Q03014,HHEX_HUMAN
Q03052,PO3F1_HUMAN
Q03060,CREM_HUMAN
Q03111,ENL_HUMAN
Q03112,MECOM_HUMAN
Q03135,CAV1_HUMAN
Q03164,KMT2A_HUMAN
Q03167,TGBR3_HUMAN
Q03169,TNAP2_HUMAN
Q03181,PPARD_HUMAN
Q03188,CENPC_HUMAN
Q03252,LMNB2_HUMAN
Q03395,ROM1_HUMAN
Q03431,PTH1R_HUMAN
Q03468,ERCC6_HUMAN
Q03692,COAA1_HUMAN
Q03701,CEBPZ_HUMAN
Q03721,KCNC4_HUMAN
Q03828,EVX2_HUMAN
Q03923,ZNF85_HUMAN
Q03933,HSF2_HUMAN
Q03989,ARI5A_HUMAN
Q04206,TF65_HUMAN
Q04323,UBXN1_HUMAN
Q04609,FOLH1_HUMAN
Q04637,IF4G1_HUMAN
Q04656,ATP7A_HUMAN
Q04671,P_HUMAN
Q04695,K1C17_HUMAN
Q04721,NOTC2_HUMAN
Q04724,TLE1_HUMAN
Q04725,TLE2_HUMAN
Q04726,TLE3_HUMAN
Q04727,TLE4_HUMAN
Q04743,EMX2_HUMAN
Q04756,HGFA_HUMAN
Q04759,KPCT_HUMAN
Q04844,ACHE_HUMAN
Q04864,REL_HUMAN
Q04900,MUC24_HUMAN
Q04912,RON_HUMAN
Q05066,SRY_HUMAN
Q05084,ICA69_HUMAN
Q05086,UBE3A_HUMAN
Q05193,DYN1_HUMAN
Q05195,MAD1_HUMAN
Q05209,PTN12_HUMAN
Q05215,EGR4_HUMAN
Q05329,DCE2_HUMAN
Q05397,FAK1_HUMAN
Q05469,LIPS_HUMAN
Q05481,ZNF91_HUMAN
Q05513,KPCZ_HUMAN
Q05516,ZBT16_HUMAN
Q05519,SRS11_HUMAN
Q05586,NMDZ1_HUMAN
Q05655,KPCD_HUMAN
Q05682,CALD1_HUMAN
Q05707,COEA1_HUMAN
Q05901,ACHB3_HUMAN
Q05925,HME1_HUMAN
Q05932,FOLC_HUMAN
Q05940,VMAT2_HUMAN
Q05952,STP2_HUMAN
Q05996,ZP2_HUMAN
Q05BQ5,MBTD1_HUMAN
Q05BV3,EMAL5_HUMAN
Q05D32,CTSL2_HUMAN
Q05D60,DEUP1_HUMAN
Q05DH4,F16A1_HUMAN
Q06033,ITIH3_HUMAN
Q06055,AT5G2_HUMAN
Q06124,PTN11_HUMAN
Q06141,REG3A_HUMAN
Q06187,BTK_HUMAN
Q06190,P2R3A_HUMAN
Q06265,EXOS9_HUMAN
Q06323,PSME1_HUMAN
Q06330,SUH_HUMAN
Q06413,MEF2C_HUMAN
Q06416,P5F1B_HUMAN
Q06418,TYRO3_HUMAN
Q06455,MTG8_HUMAN
Q06481,APLP2_HUMAN
Q06495,NPT2A_HUMAN
Q06546,GABPA_HUMAN
Q06587,RING1_HUMAN
Q06643,TNFC_HUMAN
Q06710,PAX8_HUMAN
Q06732,ZN33B_HUMAN
Q06787,FMR1_HUMAN
Q06828,FMOD_HUMAN
Q06889,EGR3_HUMAN
Q06945,SOX4_HUMAN
Q07001,ACHD_HUMAN
Q07002,CDK18_HUMAN
Q07011,TNR9_HUMAN
Q07021,C1QBP_HUMAN
Q07065,CKAP4_HUMAN
Q07075,AMPE_HUMAN
Q07092,COGA1_HUMAN
Q07108,CD69_HUMAN
Q07157,ZO1_HUMAN
Q07283,TRHY_HUMAN
Q07325,CXCL9_HUMAN
Q07326,PIGF_HUMAN
Q07343,PDE4B_HUMAN
Q07352,TISB_HUMAN
Q07444,NKG2E_HUMAN
Q07617,SPAG1_HUMAN
Q07627,KRA11_HUMAN
Q07666,KHDR1_HUMAN
Q07687,DLX2_HUMAN
Q07699,SCN1B_HUMAN
Q07817,B2CL1_HUMAN
Q07820,MCL1_HUMAN
Q07837,SLC31_HUMAN
Q07864,DPOE1_HUMAN
Q07869,PPARA_HUMAN
Q07889,SOS1_HUMAN
Q07890,SOS2_HUMAN
Q07912,ACK1_HUMAN
Q07955,SRSF1_HUMAN
Q07960,RHG01_HUMAN
Q07973,CP24A_HUMAN
Q08043,ACTN3_HUMAN
Q08050,FOXM1_HUMAN
Q08116,RGS1_HUMAN
Q08117,TLE5_HUMAN
Q08170,SRSF4_HUMAN
Q08174,PCDH1_HUMAN
Q08209,PP2BA_HUMAN
Q08211,DHX9_HUMAN
Q08289,CACB2_HUMAN
Q08345,DDR1_HUMAN
Q08357,S20A2_HUMAN
Q08378,GOGA3_HUMAN
Q08379,GOGA2_HUMAN
Q08397,LOXL1_HUMAN
Q08462,ADCY2_HUMAN
Q08493,PDE4C_HUMAN
Q08495,DEMA_HUMAN
Q08499,PDE4D_HUMAN
Q08648,SG11B_HUMAN
Q08708,CLM6_HUMAN
Q08828,ADCY1_HUMAN
Q08945,SSRP1_HUMAN
Q08999,RBL2_HUMAN
Q08AD1,CAMP2_HUMAN
Q08AE8,SPIR1_HUMAN
Q08AG5,ZN844_HUMAN
Q08AM6,VAC14_HUMAN
Q08AN1,ZN616_HUMAN
Q08ER8,ZN543_HUMAN
Q08J23,NSUN2_HUMAN
Q09013,DMPK_HUMAN
Q09019,DMWD_HUMAN
Q09328,MGT5A_HUMAN
Q09428,ABCC8_HUMAN
Q09470,KCNA1_HUMAN
Q09472,EP300_HUMAN
Q09666,AHNK_HUMAN
Q09MP3,R51A2_HUMAN
Q0D2I5,IFFO1_HUMAN
Q0D2J5,ZN763_HUMAN
Q0D2K3,RIPP1_HUMAN
